species,length,weight,w_l_ratio,length_binned,Cluster
0,0.15636363636363634,0.33018867924528306,0.42857142857142855,0-20,3
0,0.01999999999999999,0.28773584905660377,0.6964285714285714,0-20,3
0,0.07345454545454547,0.3325471698113207,0.5892857142857142,0-20,3
0,0.04400000000000001,0.3089622641509434,0.6428571428571428,0-20,3
0,0.16254545454545452,0.3136792452830188,0.41071428571428564,0-20,3
0,0.1087272727272727,0.2900943396226414,0.48214285714285704,0-20,3
0,0.11127272727272727,0.30188679245283023,0.48214285714285704,0-20,3
0,0.05672727272727271,0.2547169811320754,0.5535714285714286,0-20,3
0,0.022545454545454563,0.2617924528301887,0.6607142857142856,0-20,3
0,0.0749090909090909,0.285377358490566,0.5535714285714286,0-20,3
0,0.06072727272727271,0.31839622641509435,0.607142857142857,0-20,3
0,0.14218181818181816,0.2617924528301887,0.41071428571428564,0-20,3
0,0.07527272727272724,0.30188679245283023,0.5535714285714286,0-20,3
0,0.02327272727272725,0.27122641509433965,0.6785714285714286,0-20,3
0,0.04000000000000001,0.28301886792452835,0.6428571428571428,0-20,3
0,0.11090909090909093,0.2735849056603773,0.46428571428571425,0-20,3
0,0.010181818181818153,0.27122641509433965,0.7142857142857142,0-20,3
0,0.0658181818181818,0.29481132075471694,0.5714285714285714,0-20,3
0,0.09054545454545451,0.24056603773584906,0.48214285714285704,0-20,3
0,0.05345454545454545,0.2617924528301887,0.5714285714285714,0-20,3
0,0.13927272727272724,0.2806603773584906,0.42857142857142855,0-20,3
0,0.10363636363636367,0.3089622641509434,0.49999999999999994,0-20,3
0,0.011272727272727268,0.2971698113207547,0.75,0-20,3
0,0.06872727272727272,0.29952830188679236,0.5714285714285714,0-20,3
0,0.030909090909090914,0.31839622641509435,0.6964285714285714,0-20,3
0,0.11490909090909088,0.2783018867924528,0.46428571428571425,0-20,3
0,0.027999999999999997,0.27122641509433965,0.6607142857142856,0-20,3
0,0.09490909090909092,0.28301886792452835,0.49999999999999994,0-20,3
0,0.013818181818181815,0.25,0.6785714285714286,0-20,3
0,0.042909090909090924,0.2735849056603773,0.625,0-20,3
0,0.16181818181818183,0.285377358490566,0.39285714285714285,0-20,3
0,0.15272727272727274,0.3207547169811321,0.42857142857142855,0-20,3
0,0.04072727272727275,0.25,0.607142857142857,0-20,3
0,0.08654545454545456,0.3113207547169812,0.5535714285714286,0-20,3
0,0.08799999999999994,0.2806603773584906,0.5178571428571428,0-20,3
0,0.029090909090909084,0.33726415094339623,0.732142857142857,0-20,3
0,0.1130909090909091,0.33018867924528306,0.49999999999999994,0-20,3
0,0.02690909090909091,0.285377358490566,0.6785714285714286,0-20,3
0,0.03163636363636366,0.2971698113207547,0.6785714285714286,0-20,3
0,0.05527272727272728,0.29481132075471694,0.607142857142857,0-20,3
0,0.0709090909090909,0.30660377358490565,0.5714285714285714,0-20,3
0,0.03345454545454543,0.27122641509433965,0.6428571428571428,0-20,3
0,0.04218181818181818,0.25943396226415094,0.607142857142857,0-20,3
0,0.018909090909090903,0.2924528301886793,0.7142857142857142,0-20,3
0,0.07818181818181816,0.33726415094339623,0.5892857142857142,0-20,3
0,0.10363636363636367,0.25235849056603776,0.46428571428571425,0-20,3
0,0.06872727272727272,0.26415094339622636,0.5357142857142856,0-20,3
0,0.13709090909090912,0.3042452830188679,0.44642857142857145,0-20,3
0,0.12654545454545454,0.32311320754716977,0.48214285714285704,0-20,3
0,0.08399999999999999,0.2971698113207547,0.5357142857142856,0-20,3
0,0.03963636363636361,0.24528301886792447,0.5892857142857142,0-20,3
0,0.1123636363636363,0.29952830188679236,0.48214285714285704,0-20,3
0,0.03345454545454543,0.29481132075471694,0.6607142857142856,0-20,3
0,0.12945454545454546,0.30188679245283023,0.46428571428571425,0-20,3
0,0.10545454545454544,0.28301886792452835,0.48214285714285704,0-20,3
0,0.021090909090909077,0.2924528301886793,0.6964285714285714,0-20,3
0,0.06072727272727271,0.2924528301886793,0.5892857142857142,0-20,3
0,0.12545454545454546,0.3160377358490566,0.48214285714285704,0-20,3
0,0.04545454545454544,0.2924528301886793,0.625,0-20,3
0,0.05490909090909088,0.2806603773584906,0.5892857142857142,0-20,3
0,0.012363636363636356,0.2806603773584906,0.7142857142857142,0-20,3
0,0.052727272727272706,0.3113207547169812,0.625,0-20,3
0,0.12290909090909088,0.285377358490566,0.46428571428571425,0-20,3
0,0.06472727272727272,0.26415094339622636,0.5535714285714286,0-20,3
0,0.05563636363636362,0.28301886792452835,0.5892857142857142,0-20,3
0,0.035636363636363605,0.28301886792452835,0.6428571428571428,0-20,3
0,0.018181818181818188,0.3042452830188679,0.732142857142857,0-20,3
0,0.029090909090909084,0.27122641509433965,0.6607142857142856,0-20,3
0,0.11163636363636362,0.28773584905660377,0.48214285714285704,0-20,3
0,0.15345454545454543,0.3113207547169812,0.42857142857142855,0-20,3
0,0.04836363636363636,0.2971698113207547,0.625,0-20,3
0,0.001090909090909059,0.2382075471698113,0.7142857142857142,0-20,3
0,0.0789090909090909,0.3160377358490566,0.5714285714285714,0-20,3
0,0.05745454545454545,0.26650943396226423,0.5714285714285714,0-20,3
0,0.12254545454545454,0.29952830188679236,0.46428571428571425,0-20,3
0,0.12618181818181815,0.30660377358490565,0.46428571428571425,0-20,3
0,0.10690909090909093,0.26415094339622636,0.46428571428571425,0-20,3
0,0.04799999999999996,0.3207547169811321,0.6428571428571428,0-20,3
0,0.01781818181818179,0.285377358490566,0.7142857142857142,0-20,3
0,0.07381818181818181,0.285377358490566,0.5535714285714286,0-20,3
0,0.0876363636363636,0.3042452830188679,0.5357142857142856,0-20,3
0,0.08654545454545456,0.29952830188679236,0.5357142857142856,0-20,3
0,0.01854545454545453,0.2783018867924528,0.6964285714285714,0-20,3
0,0.10836363636363636,0.26650943396226423,0.46428571428571425,0-20,3
0,0.03527272727272726,0.33018867924528306,0.6964285714285714,0-20,3
0,0.012363636363636356,0.27594339622641517,0.7142857142857142,0-20,3
0,0.05127272727272722,0.2382075471698113,0.5535714285714286,0-20,3
0,0.015636363636363643,0.26650943396226423,0.6964285714285714,0-20,3
0,0.03127272727272726,0.2900943396226414,0.6607142857142856,0-20,3
0,0.07927272727272724,0.24292452830188682,0.49999999999999994,0-20,3
0,0.03818181818181818,0.25,0.607142857142857,0-20,3
0,0.00981818181818181,0.26650943396226423,0.7142857142857142,0-20,3
0,0.03054545454545457,0.3349056603773586,0.7142857142857142,0-20,3
0,0.03454545454545452,0.285377358490566,0.6607142857142856,0-20,3
0,0.09381818181818177,0.2924528301886793,0.5178571428571428,0-20,3
0,0.025454545454545424,0.2924528301886793,0.6964285714285714,0-20,3
0,0.11054545454545453,0.3278301886792453,0.5178571428571428,0-20,3
0,0.036000000000000004,0.2924528301886793,0.6607142857142856,0-20,3
0,0.08072727272727273,0.2806603773584906,0.5357142857142856,0-20,3
0,0.029454545454545428,0.3042452830188679,0.6964285714285714,0-20,3
0,0.11090909090909093,0.2971698113207547,0.48214285714285704,0-20,3
0,0.07454545454545455,0.25235849056603776,0.5178571428571428,0-20,3
0,0.023636363636363594,0.28301886792452835,0.6785714285714286,0-20,3
0,0.006545454545454549,0.30660377358490565,0.7678571428571428,0-20,3
0,0.026181818181818167,0.28301886792452835,0.6785714285714286,0-20,3
0,0.06909090909090906,0.26650943396226423,0.5535714285714286,0-20,3
0,0.06327272727272723,0.25235849056603776,0.5535714285714286,0-20,3
0,0.023999999999999994,0.28301886792452835,0.6785714285714286,0-20,3
0,0.06509090909090912,0.28773584905660377,0.5714285714285714,0-20,3
0,0.05127272727272722,0.3325471698113207,0.6428571428571428,0-20,3
0,0.1170909090909091,0.2924528301886793,0.46428571428571425,0-20,3
0,0.08581818181818182,0.27594339622641517,0.5178571428571428,0-20,3
0,0.08072727272727273,0.3278301886792453,0.5714285714285714,0-20,3
0,0.06109090909090906,0.2924528301886793,0.5892857142857142,0-20,3
0,0.042545454545454525,0.2382075471698113,0.5892857142857142,0-20,3
0,0.05054545454545453,0.29952830188679236,0.625,0-20,3
0,0.07454545454545455,0.2806603773584906,0.5357142857142856,0-20,3
0,0.04654545454545453,0.2688679245283019,0.607142857142857,0-20,3
0,0.13927272727272724,0.32311320754716977,0.46428571428571425,0-20,3
0,0.02981818181818177,0.3207547169811321,0.7142857142857142,0-20,3
0,0.15345454545454543,0.3136792452830188,0.42857142857142855,0-20,3
0,0.06763636363636363,0.2971698113207547,0.5714285714285714,0-20,3
0,0.07199999999999998,0.31839622641509435,0.5892857142857142,0-20,3
0,0.13199999999999998,0.32311320754716977,0.46428571428571425,0-20,3
0,0.08036363636363639,0.28301886792452835,0.5357142857142856,0-20,3
0,0.08654545454545456,0.27594339622641517,0.5178571428571428,0-20,3
0,0.034181818181818174,0.3136792452830188,0.6785714285714286,0-20,3
0,0.07745454545454547,0.2783018867924528,0.5357142857142856,0-20,3
0,0.08218181818181816,0.2806603773584906,0.5357142857142856,0-20,3
0,0.015636363636363643,0.31839622641509435,0.75,0-20,3
0,0.11745454545454545,0.30660377358490565,0.48214285714285704,0-20,3
0,0.007636363636363636,0.2924528301886793,0.75,0-20,3
0,0.05600000000000002,0.30188679245283023,0.607142857142857,0-20,3
0,0.047636363636363616,0.3042452830188679,0.6428571428571428,0-20,3
0,0.11854545454545448,0.2783018867924528,0.46428571428571425,0-20,3
0,0.04400000000000001,0.24528301886792447,0.5892857142857142,0-20,3
0,0.06727272727272729,0.2971698113207547,0.5714285714285714,0-20,3
0,0.025454545454545424,0.22877358490566035,0.625,0-20,3
0,0.11672727272727271,0.30188679245283023,0.48214285714285704,0-20,3
0,0.07599999999999998,0.285377358490566,0.5535714285714286,0-20,3
0,0.022545454545454563,0.3042452830188679,0.7142857142857142,0-20,3
0,0.006181818181818177,0.3042452830188679,0.7678571428571428,0-20,3
0,0.011636363636363611,0.2783018867924528,0.7142857142857142,0-20,3
0,0.05381818181818179,0.2617924528301887,0.5714285714285714,0-20,3
0,0.035636363636363605,0.2617924528301887,0.625,0-20,3
0,0.08618181818181817,0.3089622641509434,0.5535714285714286,0-20,3
0,0.06254545454545454,0.2924528301886793,0.5892857142857142,0-20,3
0,0.06945454545454541,0.30188679245283023,0.5714285714285714,0-20,3
0,0.05672727272727271,0.285377358490566,0.5892857142857142,0-20,3
0,0.024363636363636337,0.2783018867924528,0.6785714285714286,0-20,3
0,0.012363636363636356,0.2570754716981133,0.6964285714285714,0-20,3
0,0.03018181818181817,0.2570754716981133,0.6428571428571428,0-20,3
0,0.16,0.27122641509433965,0.39285714285714285,0-20,3
0,0.1312727272727273,0.36084905660377364,0.49999999999999994,0-20,3
0,0.00509090909090909,0.26415094339622636,0.732142857142857,0-20,3
0,0.07199999999999998,0.2688679245283019,0.5357142857142856,0-20,3
0,0.039272727272727265,0.285377358490566,0.6428571428571428,0-20,3
0,0.09527272727272726,0.2900943396226414,0.5178571428571428,0-20,3
0,0.030909090909090914,0.25235849056603776,0.625,0-20,3
0,0.019636363636363646,0.27594339622641517,0.6964285714285714,0-20,3
0,0.053090909090909105,0.2617924528301887,0.5714285714285714,0-20,3
0,0.04654545454545453,0.27594339622641517,0.607142857142857,0-20,3
0,0.11199999999999996,0.3160377358490566,0.49999999999999994,0-20,3
0,0.025818181818181823,0.25,0.6428571428571428,0-20,3
0,0.11745454545454545,0.2971698113207547,0.48214285714285704,0-20,3
0,0.08254545454545456,0.285377358490566,0.5357142857142856,0-20,3
0,0.06545454545454546,0.3089622641509434,0.5892857142857142,0-20,3
0,0.04545454545454544,0.30660377358490565,0.6428571428571428,0-20,3
0,0.017454545454545445,0.3042452830188679,0.732142857142857,0-20,3
0,0.15818181818181817,0.32311320754716977,0.42857142857142855,0-20,3
0,0.019636363636363646,0.2570754716981133,0.6607142857142856,0-20,3
0,0.042545454545454525,0.2547169811320754,0.607142857142857,0-20,3
0,0.09090909090909086,0.30660377358490565,0.5357142857142856,0-20,3
0,0.0876363636363636,0.3089622641509434,0.5357142857142856,0-20,3
0,0.00509090909090909,0.26650943396226423,0.732142857142857,0-20,3
0,0.10036363636363635,0.30660377358490565,0.5178571428571428,0-20,3
0,0.07272727272727267,0.3089622641509434,0.5714285714285714,0-20,3
0,0.04400000000000001,0.30660377358490565,0.6428571428571428,0-20,3
0,0.04327272727272727,0.2617924528301887,0.607142857142857,0-20,3
0,0.15381818181818177,0.28301886792452835,0.41071428571428564,0-20,3
0,0.0876363636363636,0.25,0.48214285714285704,0-20,3
0,0.03054545454545457,0.30188679245283023,0.6785714285714286,0-20,3
0,0.09381818181818177,0.3160377358490566,0.5357142857142856,0-20,3
0,0.059636363636363626,0.2783018867924528,0.5714285714285714,0-20,3
0,0.04799999999999996,0.25943396226415094,0.5892857142857142,0-20,3
0,0.10581818181818178,0.2900943396226414,0.48214285714285704,0-20,3
0,0.09709090909090903,0.3113207547169812,0.5178571428571428,0-20,3
0,0.05418181818181814,0.3113207547169812,0.625,0-20,3
0,0.02509090909090908,0.2735849056603773,0.6607142857142856,0-20,3
0,0.10254545454545452,0.32547169811320753,0.5178571428571428,0-20,3
0,0.0829090909090909,0.3136792452830188,0.5535714285714286,0-20,3
0,0.0829090909090909,0.25235849056603776,0.49999999999999994,0-20,3
0,0.024727272727272737,0.3113207547169812,0.7142857142857142,0-20,3
0,0.03381818181818183,0.32547169811320753,0.6964285714285714,0-20,3
0,0.04000000000000001,0.2971698113207547,0.6428571428571428,0-20,3
0,0.09818181818181818,0.2924528301886793,0.49999999999999994,0-20,3
0,0.08799999999999994,0.2735849056603773,0.5178571428571428,0-20,3
0,0.10800000000000001,0.3136792452830188,0.49999999999999994,0-20,3
0,0.02981818181818177,0.25943396226415094,0.6428571428571428,0-20,3
0,0.06872727272727272,0.26650943396226423,0.5535714285714286,0-20,3
0,0.10072727272727275,0.32547169811320753,0.5357142857142856,0-20,3
0,0.05927272727272728,0.2900943396226414,0.5892857142857142,0-20,3
0,0.08799999999999994,0.25,0.48214285714285704,0-20,3
0,0.07927272727272724,0.30188679245283023,0.5535714285714286,0-20,3
0,0.005454545454545434,0.30660377358490565,0.7678571428571428,0-20,3
0,0.011636363636363611,0.27122641509433965,0.7142857142857142,0-20,3
0,0.09418181818181812,0.29481132075471694,0.5178571428571428,0-20,3
0,0.1087272727272727,0.3042452830188679,0.49999999999999994,0-20,3
0,0.01672727272727273,0.2735849056603773,0.6964285714285714,0-20,3
0,0.09127272727272726,0.2924528301886793,0.5178571428571428,0-20,3
0,0.04327272727272727,0.285377358490566,0.625,0-20,3
0,0.04363636363636361,0.2806603773584906,0.625,0-20,3
0,0.0829090909090909,0.3207547169811321,0.5535714285714286,0-20,3
0,0.09309090909090909,0.31839622641509435,0.5357142857142856,0-20,3
0,0.10800000000000001,0.3089622641509434,0.49999999999999994,0-20,3
0,0.06072727272727271,0.3042452830188679,0.607142857142857,0-20,3
0,0.04545454545454544,0.2688679245283019,0.607142857142857,0-20,3
0,0.12472727272727266,0.29481132075471694,0.46428571428571425,0-20,3
0,0.1250909090909091,0.2806603773584906,0.44642857142857145,0-20,3
0,0.1476363636363636,0.30660377358490565,0.42857142857142855,0-20,3
0,0.10836363636363636,0.29481132075471694,0.48214285714285704,0-20,3
0,0.11527272727272722,0.28301886792452835,0.46428571428571425,0-20,3
0,0.09418181818181812,0.28773584905660377,0.49999999999999994,0-20,3
